,County,NAME,18-24-00num,18-24-00per,25-34-00num,25-34-00per,18-24-10num,18-24-10per,25-34-10num,25-34-10per,”Population aged 18-24, number," 2006-2010 5-yr est""","Population aged 18-24, percent, 2006-2010 5-yr est","Population aged 18-24, percent, 2006-2010 5-yr est, Margin of Error","Population aged 25-34, number, 2006-2010 5-yr est","Population aged 25-34, percent, 2006-2010 5-yr est","Population aged 25-34, percent, 2006-2010 5-yr est, Margin of Error",Unnamed: 18,total00,total10
41,Cuyahoga,1062.0,264.0,6.85,760.0,19.72,317,8.65,538,14.69,259,8.05,5.99,390,12.12,3.82,,,,1024.0,855
42,Cuyahoga,1063.0,265.0,8.99,614.0,20.83,269,9.73,413,14.94,445,11.68,5,487,12.79,3.82,,,,879.0,682
43,Cuyahoga,1064.0,110.0,9.11,243.0,20.12,128,11.48,168,15.07,115,11.77,18.07,184,18.83,6.77,,,,353.0,296
44,Cuyahoga,1065.0,203.0,7.86,460.0,17.82,204,8.1,366,14.52,167,6.74,7.51,409,16.52,5.03,,,,663.0,570
45,Cuyahoga,1066.0,265.0,7.69,647.0,18.79,312,9.68,505,15.67,167,5.49,6.16,468,15.38,4.05,,,,912.0,817
46,Cuyahoga,1068.0,302.0,9.57,587.0,18.6,324,11.01,437,14.85,215,6.07,5.28,570,16.09,1.68,,,,889.0,761
47,Cuyahoga,1069.0,278.0,7.32,685.0,18.04,263,7.51,471,13.45,258,7.19,5.55,426,11.87,3.67,,,,963.0,734
48,Cuyahoga,1070.0,122.0,6.65,297.0,16.19,105,6.38,203,12.33,64,4.17,11.42,215,14,4.84,,,,419.0,308
49,Cuyahoga,1071.01,773.0,26.45,1086.0,37.17,883,21.06,1617,38.56,933,25.97,5.42,1424,39.64,5.93,,,,1859.0,2500
50,Cuyahoga,1077.01,550.0,44.53,301.0,24.37,574,29.53,668,34.36,617,40.67,6.81,498,32.83,7.04,,,,851.0,1242
51,Cuyahoga,1078.02,208.0,9.65,395.0,18.33,940,28.19,827,24.81,496,21.4,9.91,729,31.45,8.41,,,,603.0,1767
52,Cuyahoga,1082.01,109.0,8.18,162.0,12.15,135,9.97,189,13.96,63,5.11,14.59,160,12.97,6.92,,,,271.0,324
53,Cuyahoga,1083.01,234.0,12.86,439.0,24.12,191,11.6,261,15.85,96,6.51,12.33,269,18.25,7.44,,,,673.0,452
54,Cuyahoga,1084.0,148.0,10.37,188.0,13.17,137,11.08,146,11.8,235,16.14,9.82,204,14.01,8.09,,,,336.0,283
55,Cuyahoga,1087.01,446.0,13.25,413.0,12.27,591,13.45,697,15.87,492,11.55,4.35,607,14.25,4.07,,,,859.0,1288
56,Cuyahoga,1093.01,100.0,6.05,184.0,11.14,152,8.12,180,9.61,106,7.86,13.71,105,7.79,4.65,,,,284.0,332
57,Cuyahoga,1097.01,545.0,19.42,502.0,17.89,443,20.03,354,16,480,18.66,8.58,367,14.26,2.9,,,,1047.0,797
58,Cuyahoga,1098.01,180.0,9.96,243.0,13.45,221,11.73,286,15.18,118,6.38,9.63,266,14.38,7.48,,,,423.0,507
59,Cuyahoga,1105.01,122.0,8.78,166.0,11.95,71,8.34,108,12.69,114,11.68,18.52,121,12.4,13.64,,,,288.0,179
60,Cuyahoga,1108.01,220.45,9.91,306.67,13.79,139,10.51,180,13.61,74,6.7,15.9,101,9.15,4.94,,,,527.12,319
61,Cuyahoga,1109.01,341.0,8.46,624.99,15.5,318,10.25,390,12.57,182,6.16,6.38,428,14.49,4.86,,,,965.99,708
62,Cuyahoga,1112.02,190.0,8.55,304.0,13.68,228,15.79,131,9.07,196,13.53,11.15,126,8.7,9.78,,,,494.0,359
63,Cuyahoga,1114.01,194.0,9.92,259.0,13.25,182,14.53,120,9.58,152,10.32,12.73,139,9.44,9.42,,,,453.0,302
64,Cuyahoga,1115.0,201.0,10.55,282.0,14.8,147,12.47,132,11.2,150,11.97,15.37,168,13.41,12.47,,,,483.0,279
65,Cuyahoga,1116.0,185.0,9.16,290.0,14.36,131,11.59,146,12.92,161,10.29,12.22,251,16.05,6,,,,475.0,277
66,Cuyahoga,1117.0,258.0,9.74,351.0,13.25,175,12.46,170,12.11,181,11.98,12.56,178,11.78,4.89,,,,609.0,345
67,Cuyahoga,1118.0,132.0,9.51,161.0,11.6,85,9.68,95,10.82,125,11.01,16.09,114,10.04,12.13,,,,293.0,180
68,Cuyahoga,1119.02,106.0,7.86,148.0,10.97,96,11.41,84,9.99,173,15.07,16.11,152,13.24,15.55,,,,254.0,180
69,Cuyahoga,1121.0,133.0,6.16,232.0,10.75,141,8,133,7.55,186,8.05,7.65,71,3.07,2.33,,,,365.0,274
70,Cuyahoga,1122.0,160.0,8.19,198.0,10.13,129,9.62,137,10.22,92,4.86,9.63,204,10.77,5.55,,,,358.0,266
71,Cuyahoga,1123.01,110.0,7.85,138.0,9.84,136,9.53,223,15.63,83,5.83,12.61,262,18.41,7.62,,,,248.0,359
72,Cuyahoga,1124.0,133.0,7.54,219.0,12.41,100,8.41,108,9.08,114,10.27,16.17,52,4.68,11.58,,,,352.0,208
73,Cuyahoga,1125.0,124.0,8.15,173.0,11.37,104,8.16,96,7.54,175,11.39,4.48,196,12.76,4.68,,,,297.0,200
74,Cuyahoga,1126.0,146.0,9.46,176.0,11.41,107,10.21,118,11.26,31,4.5,24.76,12,1.74,24.57,,,,322.0,225
75,Cuyahoga,1128.0,74.0,6.09,120.0,9.87,113,11.13,103,10.15,74,6.15,14.7,41,3.41,14.29,,,,194.0,216
76,Cuyahoga,1131.01,55.0,3.7,86.0,5.79,65,6.8,51,5.33,154,11.86,14.06,35,2.69,13.17,,,,141.0,116
77,Cuyahoga,1135.0,174.0,8.85,211.0,10.73,121,9.91,102,8.35,182,12.72,12.85,133,9.29,5.37,,,,385.0,223
78,Cuyahoga,1136.0,126.0,8.47,143.0,9.62,119,10.75,106,9.58,63,6.8,19.43,72,7.78,18.64,,,,269.0,225
79,Cuyahoga,1138.01,155.0,8.56,175.0,9.67,183,9.11,217,10.8,140,13.07,16.64,40,3.73,16.38,,,,330.0,400
80,Cuyahoga,1141.0,160.0,11.63,163.0,11.85,127,11.33,109,9.72,197,14.53,11.07,182,13.42,5.48,,,,323.0,236
81,Cuyahoga,1143.0,239.0,13.12,232.0,12.73,278,14.43,291,15.1,171,8.98,10.11,239,12.55,7.85,,,,471.0,569
82,Cuyahoga,1145.01,217.0,8.81,291.0,11.81,113,8.25,188,13.73,144,7.33,9.54,383,19.49,9.41,,,,508.0,301
83,Cuyahoga,1146.0,192.0,9.33,322.0,15.65,148,11.53,173,13.47,126,13.28,19.21,174,18.34,7.59,,,,514.0,321
